Time:,53:43.6,,,,
MSE,H1,H2,Epochs,Batch Size,Learning rate
1.063005806,10,8,300,113,0.091039891
0.015856823,2,4,100,106,0.163718155
0.015416176,10,2,270,40,0.114336339
0.015097598,4,2,121,123,0.106946458
0.023374709,10,2,284,61,0.079754093
0.064875474,6,10,140,81,0.162344853
0.037468178,2,10,252,101,0.2
0.020975378,2,4,263,136,0.0001
0.019352423,8,2,163,45,0.06850518
0.020415635,10,2,157,65,0.0001
0.048972445,10,2,300,128,0.2
0.017725502,2,8,198,129,0.2
0.011590138,8,2,269,40,0.176433027
0.016842419,2,10,201,139,0.14268518
0.225299598,10,8,288,76,0.068793688
0.039948786,2,10,132,75,0.128301298
0.057971453,10,8,179,90,0.2
0.032766771,2,4,103,121,0.2
0.195965888,10,6,271,104,0.097605012
0.041476255,8,10,126,57,0.153031805
0.021050362,6,10,118,81,0.155537937
0.020619157,8,6,111,47,0.0001
