Time:,53:10.7,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.021522853,0.002480485,0.036567053,0.004425356,8,4,525,200,0.000150325,
0.021526446,0.001466433,0.041914212,0.018838594,8,4,525,200,0.000148234,
0.021528387,0.001931942,0.037937814,0.008880713,8,4,526,200,0.000151389,
0.021536767,0.002726212,0.038806179,0.006670105,8,4,527,200,0.00015197,
0.021543226,0.001893776,0.03633402,0.006537895,8,4,527,200,0.00015197,
0.021567231,0.001951901,0.041852677,0.016098007,8,4,529,200,0.000152279,
0.02159076,0.002196769,0.036584081,0.003778767,8,4,527,200,0.000152112,
0.021596636,0.001965269,0.038152765,0.007154779,8,4,528,200,0.000152012,
0.021606603,0.002867812,0.039960011,0.008535768,8,4,228,100,0.000193413,
0.02161669,0.001339705,0.035178531,0.003247826,8,4,527,200,0.000151517,
0.021618982,0.00151322,0.036919844,0.004207096,8,4,527,200,0.000151863,
0.021621543,0.001566267,0.036094785,0.003360381,8,4,525,200,0.000151371,
0.021623902,0.00190269,0.038978931,0.00969586,8,4,527,200,0.000152071,
0.021627202,0.002112412,0.043729258,0.015544803,8,4,526,200,0.000149238,
0.021645131,0.002061794,0.039690495,0.006446948,8,4,527,200,0.000152174,
0.021651547,0.001902228,0.038241111,0.004853931,8,4,527,200,0.000152644,
0.021654674,0.001352232,0.035169574,0.004210923,8,4,529,200,0.000153187,
0.021664352,0.002449639,0.039410237,0.009770856,8,4,528,200,0.000152029,
0.021676639,0.001934693,0.037451826,0.006744012,8,4,529,200,0.000152708,
0.021696533,0.002390582,0.040105043,0.009144198,8,4,231,100,0.000189201,
0.021697839,0.001688986,0.036828065,0.006149066,8,4,527,200,0.000151716,
0.021714543,0.001747618,0.039401373,0.009563103,8,4,527,200,0.000151826,
0.021738995,0.001487641,0.03653146,0.004127757,8,4,527,200,0.000151285,
0.021749553,0.002393696,0.041655543,0.012685773,8,4,527,200,0.000151686,
0.02175543,0.001426468,0.039527781,0.007145274,8,4,527,200,0.000151914,
0.021755535,0.002215333,0.037694587,0.005348425,8,4,528,200,0.00015287,
0.021783074,0.00186883,0.036104029,0.004780979,8,4,220,100,0.000250136,
0.021801405,0.001905778,0.03847264,0.007111589,8,4,527,200,0.000151482,
0.021802965,0.002203991,0.03600269,0.003648279,8,4,528,200,0.000151457,
0.021811129,0.002688663,0.038546643,0.003066116,8,4,200,100,0.000188823,
0.021825737,0.001322745,0.035839196,0.003533501,8,4,527,200,0.000152129,
0.02185862,0.003334414,0.040864842,0.013566071,8,4,200,100,0.000227803,
0.021881064,0.002984479,0.039513497,0.005678988,8,4,220,100,0.000211498,
0.021914932,0.002805977,0.038469989,0.00583643,8,4,527,200,0.000151945,
0.021916247,0.00204625,0.037844167,0.004867615,8,4,527,200,0.000152298,
0.021918387,0.002350439,0.037190553,0.004341737,8,4,527,200,0.000152168,
0.021959656,0.002087012,0.0402527,0.012214215,8,4,527,200,0.000151935,
0.021969865,0.002735285,0.037937193,0.005354473,8,4,527,200,0.000151931,
0.02198628,0.002369675,0.040567926,0.011379003,8,4,525,200,0.000150521,
0.021992296,0.002229114,0.040412816,0.012954417,8,4,528,200,0.000152673,
0.022018386,0.001977436,0.036131539,0.003831649,8,4,221,100,0.000251929,
0.022019218,0.003107521,0.035916607,0.002542524,8,4,528,200,0.000152161,
0.022020199,0.00264448,0.035704,0.003721496,8,4,525,200,0.000150767,
0.022021192,0.00202944,0.036932659,0.004704079,8,4,527,200,0.000152048,
0.022041849,0.002386282,0.039757871,0.006387015,8,4,529,200,0.000153313,
0.022080708,0.002175713,0.041786878,0.013389041,8,4,527,200,0.000151413,
0.022105063,0.001795444,0.037022673,0.005481156,8,4,527,200,0.00015158,
0.022106515,0.001425697,0.038060661,0.008983285,8,4,527,200,0.000152299,
0.022116698,0.002952305,0.039748896,0.008638338,8,4,529,200,0.000151711,
0.022137011,0.002183598,0.037455065,0.004367339,8,4,527,200,0.00015182,
0.022149826,0.002954876,0.03782815,0.005447909,8,4,528,200,0.000152168,
0.022161502,0.003648921,0.0392743,0.004742741,8,4,511,200,0.000131594,
0.022169691,0.003217686,0.039637699,0.010388587,8,4,527,200,0.000152105,
0.022174451,0.001694661,0.036377302,0.004466686,8,4,528,200,0.000151972,
0.022176867,0.002528886,0.036524234,0.003998048,8,4,527,200,0.000151886,
0.022218051,0.002282148,0.037461292,0.004133069,8,4,528,200,0.000151809,
0.022230707,0.001692571,0.035612114,0.003799962,8,4,528,200,0.000152011,
0.022230864,0.003600206,0.03683353,0.004319445,8,4,528,200,0.000152494,
