Time:,27:13.4,Samples,4,Size:,250,Cores:,4,CPU:,Intel(R) Core(TM) i7-8700K CPU @ 3.70GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate,,
0.054129962,0.02013411,0.997268572,0.426706837,2,110,232,0.000734977,,
0.055074474,0.024251475,0.185168661,0.004882342,17,191,1,0.001587213,,
0.055550145,0.019659335,0.256736889,0.010492201,30,200,500,0.0093387,,
0.056233353,0.030716825,3.483561292,2.240331896,1,200,403,0.002064141,,
0.056665242,0.004876699,0.223403793,0.010338219,28,168,79,0.003885941,,
0.056700983,0.006739076,0.261127569,0.037672294,6,23,1,0.007711244,,
0.058309048,0.015239002,0.208192535,0.003111167,15,183,1,0.000330217,,
0.058798204,0.033091474,1.375309631,1.085078102,6,1,178,0.02,,
0.058867346,0.010294407,0.217793774,0.00972694,23,76,14,0.012188629,,
0.058983235,0.011345014,0.220098086,0.007851097,5,130,1,0.001245533,,
0.061602985,0.019980587,0.215151712,0.013113672,22,200,270,0.02,,
0.063730044,0.008194727,0.173545964,0.006779242,30,200,1,0.000933438,,
0.06374383,0.014825528,0.431844346,0.11892961,30,200,1,0.02,,
0.070988242,0.021004014,0.219592173,0.004830073,23,120,41,0.004180016,,
0.072822182,0.017758698,0.943277091,0.222979932,14,5,146,0.000368944,,
0.095318834,0.031935727,2.142143115,0.944148129,2,45,61,0.000253111,,
0.095781989,0.029060045,1.173544645,0.384213868,13,2,213,0.000683556,,
0.098737183,0.094447834,0.234336551,0.004516882,4,85,8,0.02,,
0.104266309,0.046728696,2.576047212,1.285243068,6,7,165,0.001231306,,
0.132735042,0.077093438,1.599186078,0.824659273,29,10,459,0.000232115,,
0.134029669,0.009320435,0.208901539,0.006002645,16,143,68,0.008079738,,
0.150192813,0.127478349,2.015107304,1.524863731,13,39,240,0.0001,,
0.219889271,0.177023464,1.621032089,0.597089423,3,10,314,0.000104368,,
0.242796269,0.185697128,3.317778707,2.402419666,3,106,380,0.000109877,,
0.254225173,0.29113721,4.416307062,3.447521055,1,68,201,0.001190971,,
0.486347428,0.512276679,5.807679892,5.648710334,1,200,500,0.000263639,,
0.669479708,0.446525368,7.322255254,5.039184807,1,1,1,0.0001,,
0.776642893,1.065985647,8.334001541,10.57785937,1,1,500,0.02,,
