Time:,25:42.5,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,HN,Epochs,Batch Size,Learning rate,,
0.029179969,0.00298347,0.413440493,0.027797469,29,80,158,0.000976767,,
0.029353996,0.002240496,0.364897639,0.021538034,26,94,102,0.000896713,,
0.029410534,0.004649852,0.389522848,0.045791075,16,91,414,0.00367234,,
0.029457866,0.003398174,0.425171976,0.059572398,15,184,600,0.001295456,,
0.029535674,0.003580886,0.405910159,0.057787328,13,177,423,0.00134889,,
0.029615294,0.003779526,0.4799746,0.089261309,7,155,344,0.001630016,,
0.029719517,0.004093028,0.507069334,0.174550964,8,150,454,0.002335591,,
0.029875098,0.004428644,0.346573112,0.02382633,29,138,594,0.003880969,,
0.029952149,0.007225894,0.439910248,0.078425355,8,113,438,0.005172141,,
0.029962334,0.003355497,0.554865253,0.199016785,7,14,15,0.001202657,,
0.029991752,0.004220602,0.45147634,0.058530813,7,155,300,0.001918764,,
0.029994007,0.003557842,0.520926093,0.161219915,6,153,244,0.001244313,,
0.030010814,0.005344984,0.371704037,0.051898147,11,200,600,0.00338077,,
0.030080683,0.002495818,0.418739349,0.027789334,30,153,196,0.000476563,,
0.030151217,0.004511505,0.494990577,0.060596079,6,157,289,0.001349364,,
0.030164152,0.003497682,0.421207659,0.035828657,30,73,600,0.004486975,,
0.03030299,0.010415108,0.376846254,0.04807844,19,105,495,0.006534541,,
0.030442904,0.003270045,0.424208725,0.026700515,27,200,388,0.000550365,,
0.03047916,0.002659388,0.428897803,0.025859481,27,16,105,0.004467544,,
0.030531566,0.006326643,0.327976212,0.037607414,10,141,600,0.007285631,,
0.030650686,0.003779613,0.438574021,0.051019966,19,43,326,0.004903012,,
0.030711295,0.004148294,0.344892107,0.025112271,26,31,120,0.007511287,,
0.030780671,0.002717813,0.42282104,0.021339092,30,36,306,0.00445995,,
0.030802673,0.003601136,0.482696774,0.078929992,10,87,143,0.000712119,,
0.03088193,0.003884255,0.336392206,0.025205948,28,84,141,0.00207637,,
0.031017364,0.003929642,0.415733196,0.049822304,30,200,466,0.001149402,,
0.031056324,0.00432261,0.352771478,0.027845598,12,91,323,0.006595461,,
0.031092813,0.003476535,0.437889298,0.060032931,24,124,128,0.000470544,,
0.031223899,0.009032077,0.375199149,0.032777199,12,64,600,0.011976206,,
0.031394502,0.00346843,0.450519726,0.047058489,14,46,340,0.005441532,,
0.031712993,0.003900972,0.55978558,0.145319086,6,188,431,0.001248932,,
0.03178939,0.005102441,0.516852458,0.127595521,4,135,109,0.000684974,,
0.031842518,0.003940188,0.482878079,0.072142391,9,182,466,0.001604404,,
0.031976537,0.003891106,0.498785439,0.152935631,5,150,449,0.002567843,,
0.032195247,0.001848204,0.458999495,0.078333407,20,177,403,0.000573595,,
0.032212003,0.002210117,0.431330197,0.008947262,26,1,1,0.002475335,,
0.032313415,0.002778348,0.574892936,0.140539997,9,44,107,0.000972195,,
0.032378621,0.003787142,0.312311207,0.015478377,24,177,269,0.001429602,,
0.032394183,0.003582205,0.547654937,0.105849286,8,125,213,0.000749912,,
0.032484958,0.002381182,0.524264735,0.109611645,11,161,60,0.000134537,,
0.03249438,0.004052893,0.589747168,0.128163852,6,134,329,0.001381315,,
0.032528491,0.003948911,0.440231442,0.035897317,22,140,589,0.001302982,,
0.032614744,0.00366487,0.853877008,0.55882049,3,146,267,0.001451262,,
0.032647064,0.00152613,0.515328889,0.096197316,15,71,189,0.00094667,,
0.032654738,0.001982068,0.641652639,0.210676745,14,167,284,0.000223382,,
0.032707073,0.002968121,0.494736145,0.056067728,7,147,287,0.001042629,,
0.032737411,0.003087825,0.639523427,0.252061969,21,85,467,0.000339844,,
0.032746233,0.002799407,0.445463883,0.02697571,24,50,431,0.004973603,,
0.032751862,0.002410669,0.456020869,0.033105393,30,81,473,0.002139898,,
0.032946963,0.003077321,0.30688753,0.013609357,28,153,33,0.000384281,,
0.032985215,0.003803154,0.33971752,0.025118543,30,71,600,0.02,,
0.03325791,0.00134444,0.658210434,0.265340011,21,121,456,0.000310167,,
0.033327937,0.002675033,0.475013383,0.055802523,16,65,101,0.00048291,,
0.033339043,0.002032283,0.493460635,0.060620198,23,105,357,0.000713294,,
0.033365523,0.00231183,0.725501075,0.332520884,13,161,255,0.000195207,,
0.033584229,0.002637831,0.463822238,0.045218874,6,1,1,0.001840132,,
0.033588453,0.002642819,0.608117064,0.216122233,6,122,192,0.000869007,,
0.03362951,0.002082061,0.519320068,0.111831322,12,200,89,0.0001,,
0.033632383,0.001940862,0.639553207,0.161847286,14,168,377,0.000158489,,
0.033683345,0.001795634,0.732751623,0.27023961,18,84,376,0.000321411,,
0.033746869,0.003229801,0.509532099,0.06527008,7,141,276,0.000700139,,
0.033791691,0.002119732,0.491709928,0.070652588,13,123,485,0.001529238,,
0.033971117,0.00245824,0.561541351,0.092517101,16,160,336,0.000234757,,
0.033982817,0.002473042,0.523053904,0.074455871,21,1,1,0.000159012,,
0.034122793,0.001581267,0.456094131,0.036258426,30,200,229,0.000280988,,
0.034293169,0.001657335,0.548286294,0.111830602,24,94,600,0.00034249,,
0.034340636,0.005279446,0.668399977,0.216527948,4,121,202,0.00106845,,
0.034341859,0.001504271,0.550066357,0.099983122,22,64,172,0.000309816,,
0.034349683,0.001340446,0.518381407,0.063455231,27,81,104,0.000201071,,
0.034382539,0.001550458,0.535517459,0.109556798,16,165,359,0.000297156,,
0.034384076,0.00253392,0.614833002,0.127481103,7,3,44,0.004784985,,
0.03440231,0.001530461,0.533132074,0.14636157,19,98,261,0.000382988,,
0.03440468,0.001309298,0.508351768,0.062464023,20,84,600,0.001235652,,
0.034512998,0.001449897,0.558828051,0.123787411,20,137,403,0.000261945,,
0.034522556,0.004653426,0.30511074,0.016222676,28,110,200,0.003019878,,
0.034530176,0.001402399,0.505547245,0.075808414,30,169,194,0.0001,,
0.034593573,0.009073979,0.337821138,0.037964766,6,79,349,0.02,,
0.034617033,0.001792235,0.480415009,0.041510091,17,20,25,0.000329287,,
0.034725822,0.003906555,0.78808261,0.267370884,20,74,571,0.000283645,,
0.034779164,0.002565584,0.626719209,0.204548707,22,178,592,0.000186312,,
0.034810602,0.002961062,0.544504608,0.075242952,20,115,600,0.000323249,,
0.034892842,0.00150514,0.511298597,0.077490321,16,14,246,0.00415083,,
0.034926993,0.001523795,0.51272548,0.113623167,28,117,319,0.000244391,,
0.034928812,0.001659467,0.596032235,0.157437437,16,200,276,0.000118294,,
0.034969196,0.001926941,0.554834659,0.09916446,17,1,1,0.000293635,,
0.035287493,0.001875776,0.719888632,0.323089818,14,171,231,0.0001,,
0.035303099,0.001996059,0.551478515,0.128895693,30,1,1,0.0001,,
0.035328899,0.005246544,0.282090445,0.005636419,16,44,1,0.000232693,,
0.035412151,0.001047175,0.48025649,0.02751906,29,44,543,0.001645548,,
0.035607763,0.001174597,0.490822998,0.058848207,30,200,600,0.000330781,,
0.035692089,0.005806974,0.808768024,0.595869948,7,106,468,0.001586756,,
0.035992154,0.001952906,0.556845454,0.12348712,30,200,470,0.0001,,
0.036125183,0.012876494,0.323389784,0.042476197,3,77,72,0.011547256,,
0.036332599,0.007973381,0.304022317,0.045590323,5,151,412,0.02,,
0.036365615,0.004326343,0.263562597,0.007819457,30,125,1,0.0001,,
0.036543067,0.000510322,0.604674791,0.204264487,1,115,183,0.02,,
0.03656335,0.000724307,0.549820301,0.135118085,1,200,600,0.02,,
0.036846301,0.004559236,0.283469503,0.020161058,30,138,558,0.01296026,,
0.036860512,0.001175012,0.68648727,0.266185286,1,155,380,0.011055648,,
0.036965182,0.003574668,0.236829996,0.004352301,30,200,1,0.0001,,
0.036967576,0.009427092,0.301427441,0.03610159,23,200,600,0.005058446,,
0.037032286,0.002206073,0.70334208,0.239035592,13,6,339,0.006296867,,
0.037098262,0.003748025,0.270819557,0.006197805,19,119,1,0.0001,,
0.037205315,0.003484152,0.710291651,0.18421746,30,141,600,0.0001,,
0.037299091,0.0057636,0.295835833,0.034746131,15,164,368,0.005955556,,
0.037731831,0.00183975,0.468584788,0.04469332,1,200,92,0.02,,
0.037770577,0.00191675,0.566165604,0.099674346,1,116,600,0.02,,
0.037972245,0.005382655,0.304172044,0.03593553,12,188,368,0.004066539,,
0.038229928,0.0044972,0.253986605,0.006553632,12,42,1,0.000451492,,
0.038230959,0.003603048,0.64679151,0.313261901,21,110,347,0.0001,,
0.038474979,0.003417698,1.415589218,0.79151811,1,200,435,0.004613495,,
0.038479835,0.00723249,0.300140532,0.021619286,15,88,342,0.016993938,,
0.038487982,0.002577568,0.495130037,0.056659647,1,1,1,0.02,,
0.038794217,0.003646987,0.751675022,0.287102403,12,1,60,0.005591313,,
0.040142654,0.003380163,0.256337757,0.003129528,30,42,1,0.000398262,,
0.040838123,0.007276257,0.240680238,0.004952154,19,84,9,0.000893573,,
0.041154265,0.009293891,0.858852521,0.410145924,11,163,388,0.000128567,,
0.041505042,0.003562732,0.244786711,0.008680992,19,187,1,0.0001,,
0.041837824,0.008077751,0.29114495,0.020105708,18,118,600,0.02,,
0.041857575,0.007433268,0.235943853,0.006450218,9,22,1,0.006339991,,
0.041926178,0.005600939,0.241950645,0.005272138,13,108,1,0.000218347,,
0.042351481,0.009040681,0.42648077,0.011360278,1,135,1,0.02,,
0.043052547,0.010541877,0.217877829,0.007251767,23,120,49,0.004180016,,
0.043415555,0.007684245,0.245776,0.007102063,7,40,1,0.000919902,,
0.043940049,0.006726034,0.226600913,0.006740779,28,168,95,0.003885941,,
0.043963591,0.010934227,1.15941443,0.331238787,30,1,600,0.02,,
0.045011725,0.007823064,0.227177718,0.012003216,6,89,1,0.001079665,,
0.045311543,0.006827287,1.429164117,0.642034277,17,1,600,0.02,,
0.046000646,0.007555009,0.261950973,0.023848468,5,25,1,0.001933126,,
0.046146917,0.021168289,0.937885985,0.55811563,13,200,451,0.000131082,,
0.04655037,0.005390134,0.230733426,0.007241263,10,37,1,0.001291119,,
0.048014482,0.013689268,1.15640083,0.791265065,2,110,278,0.000734977,,
0.048643685,0.028357629,0.47095454,0.061896919,30,1,1,0.02,,
0.049059788,0.016540989,1.190434669,0.876960477,16,1,223,0.01234135,,
0.052364756,0.011633396,0.215692585,0.006057727,10,144,1,0.000403132,,
0.055839948,0.012050013,0.210483188,0.006059031,11,200,1,0.000325554,,
0.058458484,0.018005604,0.211705014,0.00957458,30,200,323,0.02,,
0.059987842,0.031908115,0.222305688,0.006599586,16,143,81,0.008079738,,
0.061820221,0.010076866,0.170599227,0.006354582,30,200,1,0.000782636,,
0.069132841,0.015493063,0.207472277,0.009020433,23,76,16,0.012188629,,
0.078116709,0.029408349,1.008133168,0.424050263,14,5,175,0.000368944,,
0.084749025,0.077721462,3.02775265,2.34679839,1,195,245,0.000716057,,
0.088704579,0.046494819,1.177269205,0.631294089,29,10,550,0.000232115,,
0.097603782,0.077136313,2.541748742,1.780877875,1,68,241,0.001190971,,
0.097821183,0.093914776,1.566624656,1.248583683,6,7,198,0.001231306,,
0.129426295,0.068615356,1.433747843,0.694565183,13,2,255,0.000683556,,
0.144185315,0.124996706,2.476561214,2.023132181,2,45,73,0.000253111,,
0.29612632,0.375219087,3.084990367,3.357813128,3,106,456,0.000109877,,
0.433265309,0.236932427,4.594445229,2.351547681,3,10,377,0.000104368,,
