Time:,3:22:29.182472,Samples,16,Size:,250,Cores:,16,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate
0.02430346795998873,0.004917501402901707,0.038104742066934705,0.005604569763005246,4,4,388,50,0.00010833998897410551
0.023394621696152577,0.0042552390232419015,0.03589208726771176,0.0022499246352693137,4,4,402,50,0.0001
0.022023912947576184,0.001875983328324574,0.03639709739945829,0.0024549631787537966,4,4,400,50,0.0001
0.02340467512581435,0.0033662231094312785,0.038438995368778706,0.008424487485670148,4,4,401,50,0.0001
0.023978255877002724,0.004991843498048401,0.03815655456855893,0.0058928158501608905,4,4,403,50,0.0001
0.02324437450934498,0.004111744152524771,0.037999909836798906,0.003382553566364908,4,4,390,50,0.0001
0.021383704294569462,0.0021562935274894906,0.03627279517240822,0.0022445353569324556,4,4,397,50,0.0001
0.024890810426460394,0.005088797554226703,0.037983055459335446,0.0030556835881659023,4,4,395,50,0.0001
0.021686113646298518,0.0028433159134325123,0.03626303467899561,0.0029626030590800645,4,4,402,50,0.0001
0.024220464919673543,0.005654046101832403,0.038577709114179015,0.004142117013102897,4,4,400,50,0.0001
0.023147258561141377,0.004359681652549221,0.036149027990177274,0.003347389984977316,4,4,399,50,0.0001
0.024321201066185665,0.005028745451274634,0.03773697838187218,0.0038468563305368198,4,4,400,50,0.0001
0.024127024095606683,0.004724903892146857,0.03810022375546396,0.0028748478787090953,4,4,399,50,0.0001
0.023343022657931357,0.005635127777102381,0.03732485044747591,0.0026265348793621584,4,4,400,50,0.0001
0.04095664297775178,0.009684618684715119,0.024345168960280716,0.0020631773235897113,4,4,100,500,0.02
0.04554593286813928,0.007675142485829745,0.025145986583083868,0.001226606847830795,4,4,796,50,0.0002771596076807209
0.029169526696794363,0.006841229519624886,0.03915998502634466,0.0023360134743646323,2,10,350,50,0.0001
0.033716017328241144,0.0012857819736569905,0.07590074371546507,0.056465765840445645,6,6,100,500,0.00016100057837010017
0.0701066184373012,0.0795650465502768,0.1309104033280164,0.152471713226672,4,2,100,500,0.0001
0.028637719553297077,0.017300769329531316,0.03112727077677846,0.001265865275430672,2,10,100,50,0.005408654299126982
0.02323478593577091,0.0028175812633211995,0.04644960956647992,0.01774201333966885,4,2,800,487,0.00020794017954682705
0.030541918885477054,0.0012164768496834085,0.04897428140975535,0.013394361738874623,8,6,331,397,0.0001715608377326261
0.029988219401189568,0.0037550165847316836,0.043238566955551505,0.007541569726511216,4,8,327,116,0.0001
0.027168072191421262,0.010552227169266168,0.03242016665171832,0.0019918471299618314,2,10,276,232,0.002765433115711862
0.02988085808271674,0.003624845495820531,0.042610484175384045,0.006005348467039412,4,4,351,90,0.0001
0.02299153750916465,0.004980730377655232,0.03661639406345785,0.002904230791010147,4,8,355,56,0.0001
0.02336583624026138,0.005466190394620861,0.037301196716725826,0.004322645989524001,4,8,343,50,0.0001
0.024031122991044106,0.005637606845991934,0.03762719430960715,0.0032474518985949677,4,8,335,50,0.0001
0.022507105732069276,0.004151141028683611,0.03688934235833585,0.002626187135478361,4,8,332,50,0.0001
0.025118139725236167,0.007854019373933523,0.03266043798066676,0.0017428222949929127,2,10,284,306,0.002750027508529978
0.02408555713120642,0.00859725183151918,0.032501458772458136,0.0023231191190095386,2,8,253,304,0.0033928493123239084
0.024480317373001,0.00503172370695741,0.037960043642669916,0.0025666235682057733,4,8,316,54,0.0001
0.02445397722922949,0.005642005214196187,0.03853660658933222,0.0031831246184829587,4,8,313,54,0.0001
0.027313040320615073,0.0052812474062552016,0.040463549084961414,0.0027048873758665783,4,8,310,53,0.0001
0.025900985588826364,0.005598065295107595,0.03913373709656298,0.0037878912037452423,4,8,318,56,0.0001
0.02377266626810621,0.0044893486461474235,0.03872844227589667,0.003626216928944183,4,8,319,56,0.0001
0.023127437951593874,0.004049489702106282,0.037317472975701094,0.002200249137362302,4,8,316,56,0.0001
0.02235067462984932,0.0035164520354284226,0.038437143666669726,0.002884490327760691,4,8,314,56,0.0001
0.0239991276034717,0.004450515056320315,0.0406197237316519,0.0043443248483914015,4,8,312,55,0.0001
0.02472640135449791,0.004773196725567003,0.03844551998190582,0.0024298988670802563,4,8,310,55,0.0001
0.02514369107288346,0.005500140067953578,0.038308314280584455,0.002084925987294557,4,8,309,56,0.0001
0.026883551792668776,0.0042358889100444184,0.03878819081000984,0.002113216143536476,4,8,308,56,0.0001
0.023504082918688184,0.0050278437140268825,0.03757599485106766,0.002355220742210578,4,8,309,57,0.0001
0.02305700718989875,0.004849916117396866,0.03788944007828832,0.00295314594105207,4,8,308,56,0.0001
0.025116961812164558,0.005409834919528707,0.038932584691792727,0.002499505617823328,4,8,308,59,0.0001
0.027351012405630863,0.005164060668551898,0.0385210276581347,0.002228670060288141,4,8,306,58,0.0001
0.030085053972946006,0.00095699784300519,0.043277084128931165,0.005593325114177583,8,8,100,50,0.0001
0.028795374614225787,0.0022769928214482725,0.04525390057824552,0.008500119751814663,8,10,329,257,0.00014299265705240623
0.02303185291006811,0.0028136913486999727,0.03414368163794279,0.0030215433494023163,8,4,397,50,0.0001
0.02235106850908407,0.0029428695809455064,0.03838255419395864,0.002172736054895139,10,8,100,50,0.00019668741884484213
0.030684033595869117,0.0005661384935058093,0.06720947450958192,0.04571795297975142,8,2,565,475,0.0001
0.028152894153332983,0.010732563593486469,0.03279577742796391,0.002036893483563624,2,8,224,307,0.004577739954671575
0.029720855613693538,0.009368404778218539,0.033652974059805274,0.002461622177304396,2,8,267,300,0.0030050143636366575
0.028951150102084534,0.01204006484426759,0.03273991995956749,0.002486974738177091,2,8,252,312,0.003725936060014503
0.02977930310769346,0.009705229340871532,0.03318983921781182,0.002198504103647221,2,8,253,299,0.0035949956832336135
0.027396578588728664,0.009840349933269831,0.03290035028476268,0.0017276222653159487,2,8,245,314,0.00371077262225988
0.024651696434954143,0.009727981220438118,0.03197948157321662,0.0021827192539245126,2,8,242,314,0.003773202727393049
0.028199983515657313,0.011049819349231469,0.032757886219769716,0.0019908482028607837,2,8,231,316,0.00401696211117716
0.0297758978736358,0.009694734921668176,0.03317202616017312,0.002198919426974699,2,8,242,316,0.0038155864010474046
0.0283057074165895,0.01189180383489393,0.0321002978598699,0.0021080388820737474,2,8,245,313,0.0037234812340136954
0.031076849949258703,0.009397360416636321,0.03320991387590766,0.0021276776825653234,2,8,251,314,0.003639725644587901
0.03196390425556986,0.00919021079292792,0.03376425290480256,0.002068672606897943,2,8,243,311,0.0037365354683547704
0.027935126300187803,0.008305196683243862,0.0334728421876207,0.0017465080450545748,2,8,234,310,0.0038711163880366627
0.03006166536147021,0.008874105843052425,0.03347212471999228,0.001885354653878226,2,8,241,310,0.0037960473747150874
0.02812394521381141,0.009720405189166954,0.03285908652469516,0.0019674248052340094,2,8,245,316,0.003686000307957134
0.03137840950714433,0.009687665851859706,0.033636995824053884,0.002417509239788124,2,8,243,312,0.0037346190414313447
0.034849884914306885,0.010652939483736499,0.03365845780353993,0.0024277639874946346,2,8,227,323,0.003917040224798981
0.02737095163636643,0.011614879154639405,0.03259135386906564,0.002317140919920059,2,8,304,306,0.002845415164561608
0.028565846028398508,0.0085658958235422,0.03338633244857192,0.0019423563207499846,2,8,298,307,0.002858862979098418
0.03110127340823107,0.011335712503291916,0.033744720625691116,0.0032400627650206603,2,8,306,306,0.002916266881011228
0.030310312449407503,0.012623587257826599,0.03326722071506083,0.002007382377767316,2,8,268,295,0.003357753269264886
0.027114656238753143,0.00890412266698563,0.03307456825859845,0.0020484264770060357,2,8,266,304,0.0033642961204482934
0.02935014742211172,0.007949711771497385,0.03398870036471635,0.002427516569344566,2,8,267,302,0.0031352605195110413
0.02704964831495189,0.00991697250857166,0.03223638341296464,0.002131293926455052,2,8,267,302,0.003372703839807897
0.02723590195050949,0.009592448979520211,0.03261462936643511,0.0018710046853933947,2,8,271,299,0.0033162209791161544
0.026833958804021518,0.009687559388961934,0.0328541916096583,0.0024220625201653427,2,8,274,298,0.002954564692088593
0.027788401089113256,0.009123271256179684,0.03311187960207462,0.002021496855673184,2,8,276,282,0.003114283067326451
0.02525693254969871,0.009625348800168089,0.032133448286913335,0.001893060861864749,2,10,282,286,0.0029426872196966236
0.027488041391961003,0.008967089091837287,0.03322199557442218,0.002160017284386791,2,8,278,288,0.003097132041854276
0.02829250008291596,0.009197720687366868,0.032928626984357834,0.0018405568096891481,2,10,285,283,0.0029660501104730452
0.032763117565717745,0.011002597781953862,0.033532550442032516,0.002453307324155463,2,10,289,292,0.0025076867033290277
0.031269421206996204,0.012986218488342402,0.031133464421145618,0.001097058248987359,2,10,263,150,0.004426454924135202
0.04466785378541715,0.011954845988115944,0.022862503305077553,0.00115009852559974,4,10,100,84,0.004638552300615511
0.024009793452933387,0.003689860038288618,0.038544310024008155,0.0014744837189628118,6,10,100,50,0.00020340186453792598
0.028544881424118117,0.005996576219084211,0.04489144473336637,0.012320574460523197,4,2,566,243,0.00015959008474994476
