Time:,54:30.1,Samples,12,Size:,250,Cores:,4,CPU:,Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz
MSE,std,Train MSE,Train std,H1,H2,Epochs,Batch Size,Learning rate,
0.023622183,0.004639692,0.046835581,0.019620473,10,2,189,20,0.0001,
0.023713086,0.004424803,0.036667774,0.002653988,4,2,245,20,0.0001,
0.02371718,0.003157706,0.03988976,0.004946974,8,8,462,254,0.000136297,
0.023820778,0.004453164,0.037112008,0.004184353,4,8,229,600,0.000868804,
0.023846605,0.003732289,0.037549353,0.003928808,4,8,236,600,0.000745369,
0.02388591,0.00384893,0.037059479,0.002818216,4,8,217,600,0.000925323,
0.024042634,0.002081972,0.03959829,0.006270509,8,2,255,90,0.000253111,
0.024112299,0.004231918,0.044790563,0.011870243,8,2,211,115,0.000226394,
0.024194226,0.004753968,0.036385563,0.003347159,4,8,237,600,0.000678157,
0.024531816,0.005355077,0.037894391,0.005195981,4,8,248,600,0.000710268,
0.025344115,0.005659731,0.037600866,0.004121577,4,8,228,600,0.000818095,
0.025577044,0.004966366,0.039442531,0.007081154,4,8,267,600,0.000686466,
0.025625912,0.005057923,0.03871658,0.003463881,4,4,219,600,0.000860058,
0.025924751,0.008076763,0.033296975,0.001783494,2,6,357,564,0.002578522,
0.025935466,0.004766649,0.043214093,0.015152932,4,4,235,600,0.00078995,
0.025937536,0.00488457,0.04737881,0.013931727,4,2,400,214,0.000269716,
0.0259891,0.00518643,0.039607074,0.007488448,4,8,241,600,0.000718964,
0.026080681,0.005466597,0.03920177,0.006590609,4,8,237,600,0.000827475,
0.026160767,0.00415878,0.05499554,0.022922198,8,2,364,111,0.0001,
0.026163968,0.009168124,0.034103428,0.0023034,2,8,654,305,0.000814347,
0.026185968,0.003869218,0.041468037,0.014354589,6,4,550,572,0.000311447,
0.026257829,0.006001822,0.037931379,0.005722827,4,8,243,600,0.000750776,
0.026373304,0.004722122,0.039253735,0.004339632,4,8,278,600,0.000439081,
0.026509148,0.005249659,0.039328584,0.00608356,4,8,227,600,0.000715768,
0.02673178,0.003548402,0.041909259,0.005027023,8,8,419,259,0.00014132,
0.026734,0.005993328,0.043108385,0.013437092,4,4,443,600,0.000447805,
