Time:,33:21.3,Size:,10000,Cores:,32,CPU:,Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,,,
MSE,H1,H2,Epochs,Batch size,Learning rate,,,,,
0.032692909,6,2,100,10,0.0002,,,,,
0.03274684,4,4,10,100,0.02,,,,,
0.032766407,6,2,400,200,0.1,,,,,
0.032777732,8,2,25,80,0.04,,,,,
0.032780044,6,4,200,250,0.01,,,,,
0.03280542,10,2,400,80,0.0001,,,,,
0.032809121,10,4,10,250,0.02,,,,,
0.032816005,4,2,100,100,0.04,,,,,
0.032827027,4,2,250,80,0.002,,,,,
0.032837856,10,4,150,25,0.0001,,,,,
0.032838506,8,4,200,80,0.0002,,,,,
0.032843557,10,4,200,25,0.0004,,,,,
0.032848414,2,2,250,300,0.004,,,,,
0.032856696,4,2,100,10,0.01,,,,,
0.03288898,10,4,50,80,0.001,,,,,
0.032891664,10,4,10,50,0.02,,,,,
0.032903008,6,2,350,250,0.0004,,,,,
0.032904447,8,2,25,25,0.004,,,,,
0.032924656,6,4,250,100,0.0004,,,,,
0.032930062,6,2,25,150,0.01,,,,,
0.032956213,10,4,10,80,0.02,,,,,
0.032974249,6,2,25,25,0.001,,,,,
0.032990802,6,2,25,250,0.01,,,,,
0.032997496,2,4,50,250,0.004,,,,,
0.033004662,4,4,400,200,0.004,,,,,
0.033019674,8,2,150,300,0.001,,,,,
0.033030817,6,2,300,250,0.0004,,,,,
0.033032104,6,2,200,50,0.04,,,,,
0.033045648,6,4,25,25,0.004,,,,,
0.033046279,8,2,25,100,0.02,,,,,
0.033048373,4,2,400,150,0.01,,,,,
0.033053043,10,2,200,25,0.0001,,,,,
0.033054441,6,2,400,50,0.0001,,,,,
0.033077494,4,4,250,10,0.0002,,,,,
0.033080925,8,4,250,300,0.0004,,,,,
0.033083069,10,4,100,200,0.001,,,,,
0.033090557,4,4,25,25,0.1,,,,,
0.033117378,6,4,350,100,0.004,,,,,
0.033135959,6,2,200,300,0.0004,,,,,
